Year,Missing,True,False
1384,99.79,0.21,0.0
1385,0.0,0.21,99.79
1386,99.74,0.26,0.0
1387,99.81,0.19,0.0
1388,99.81,0.19,0.0
1389,99.83,0.17,0.0
1390,99.87,0.13,0.0
1391,99.96,0.04,0.0
1392,99.91,0.09,0.0
1393,99.95,0.05,0.0
1394,99.97,0.03,0.0
1395,99.94,0.06,0.0
