Year,False,Missing,True
1384,0.0,41.99,58.01
1385,100.0,0.0,0.0
1386,63.76,36.24,0.0
1387,66.57,33.43,0.0
1388,65.33,34.67,0.0
1389,61.83,35.12,3.04
1390,61.94,34.68,3.37
1391,65.73,34.27,0.0
1392,66.76,33.24,0.0
1393,64.72,35.28,0.0
1394,64.78,35.22,0.0
1395,62.95,37.05,0.0
