Year,False,True,Missing
1363,99.55,0.45,0.0
1364,99.55,0.45,0.0
1365,99.23,0.77,0.0
1366,86.86,13.14,0.0
1367,85.35,14.65,0.0
1368,87.78,12.22,0.0
