Year,False,True,Missing
1363,94.8,5.2,0.0
1364,93.85,6.15,0.0
1365,94.33,5.67,0.0
1366,91.19,8.81,0.0
1367,91.3,8.7,0.0
1368,93.41,6.59,0.0
