Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,10211.0,41000.2,530665.44,0.0,0.0,50600000.0
1364,9938.0,32578.87,221806.22,0.0,0.0,12000000.0
1365,2067.0,35791.21,134705.41,0.0,0.0,1900000.0
1366,2012.0,42277.17,224069.45,0.0,0.0,6860000.0
1367,2708.0,50894.8,170840.08,0.0,0.0,4200000.0
1368,3985.0,48335.74,278662.0,0.0,0.0,13000000.0
