Year,Missing,True,False
1381,0.0,0.19,99.81
1382,0.0,0.14,99.86
1383,99.66,0.34,0.0
1384,99.8,0.2,0.0
1385,0.0,0.16,99.84
1386,99.83,0.15,0.02
1387,99.89,0.11,0.01
1388,99.92,0.08,0.0
1389,99.83,0.17,0.0
1390,99.95,0.05,0.0
1391,99.88,0.12,0.0
1392,99.91,0.09,0.0
1393,99.92,0.08,0.0
1394,99.91,0.09,0.0
1395,99.89,0.11,0.0
1396,99.9,0.1,0.0
1397,99.65,0.35,0.0
1398,99.61,0.39,0.0
1399,99.54,0.46,0.0
1400,99.64,0.36,0.0
1401,99.55,0.45,0.0
1402,99.66,0.34,0.0
