Year,Missing,True,False
1384,98.35,1.65,0.0
1385,0.0,1.34,98.66
1386,98.65,1.35,0.0
1387,98.39,1.61,0.0
1388,98.48,1.52,0.0
1389,98.64,1.36,0.0
1390,93.29,6.71,0.0
1391,99.15,0.85,0.0
1392,99.36,0.64,0.0
1393,99.37,0.63,0.0
1394,99.43,0.57,0.0
1395,99.01,0.99,0.0
