,Year,Value,Replace_Value,Frequency
0,1363,X01,None,37.0
1,1363,X03,None,638.0
2,1364,X01,None,4.0
3,1364,X03,None,470.0
4,1365,X03,None,99.0
5,1366,X01,None,2.0
6,1366,X02,None,2.0
7,1366,X03,None,93.0
8,1366,X04,None,17.0
9,1367,X01,None,4.0
10,1367,X02,None,1.0
11,1367,X03,None,125.0
12,1367,X04,None,27.0
13,1368,X01,None,2.0
14,1368,X02,None,1.0
15,1368,X03,None,183.0
16,1368,X04,None,36.0
