Year,True,False,Missing
1387,99.45,0.55,0.0
1388,99.52,0.48,0.0
1389,98.29,1.71,0.0
1390,73.4,26.6,0.0
1391,74.39,25.61,0.0
1392,78.22,21.78,0.0
1393,73.34,26.66,0.0
1394,73.01,26.99,0.0
1395,72.9,27.1,0.0
1396,72.72,27.28,0.0
1397,72.84,27.16,0.0
1398,75.03,24.97,0.0
1399,75.12,24.88,0.0
1400,74.76,25.24,0.0
1401,73.21,26.79,0.0
