Year,True,False,Missing
1363,59.95,40.05,0.0
1364,61.79,38.21,0.0
1365,66.19,33.81,0.0
1366,67.25,32.75,0.0
1367,66.49,33.51,0.0
1368,65.99,34.01,0.0
