Year,Count,Mean,Standard Deviation,Minimum,Median,Maximum
1363,10211,1.38,1.37,1,1.0,80
1364,9938,1.32,0.96,1,1.0,13
1365,2067,1.36,1.05,1,1.0,11
1366,2012,1.34,1.03,1,1.0,13
1367,2708,1.32,0.97,1,1.0,12
1368,3985,1.38,1.06,1,1.0,13
