Year,True,False,Missing
1363,0.22,99.78,0.0
1364,0.35,99.65,0.0
1365,0.44,99.56,0.0
1366,73.94,26.06,0.0
1367,77.35,22.65,0.0
1368,78.17,21.83,0.0
