Year,,612,614,753,956,410,985,622,613,133,452,624,X03,552,843,310,951,893,791,132,776,589,451,623,754,971,110,872,627,571,530,839,811,849,831,582,832,072,139,801,391,X04,875,359,443,845,510,871,959,851,873,955,931,751,778,300,626,855,551,321,331,441,974,700,858,752,932,943,149,771,857,952,034,572,420,629,953,141,211,962,395,560,625,755,820,795,724,711,854,380,370,957,490,163,219,880,641,779,399,161,958,981,973,921,983,961,892,339,394,803,963,901,033,453,134,731,053,999,774,032,799,796,842,061,X01,078,581,131,949,819,022,773,619,939,079,615,212,772,600,084,031,745,054,035,942,969,599,841,813,193,195,400,202,123,722,055,191,351,856,213,902,929,728,090,746,775,074,742,180,876,122,076,712,744,713,071,068,173,063,201,013,649,593,064,052,041,067,083,926,756,062,986,630,340,023,066,759,749,910,891,733,152,760,069,727,075,874,616,729,129,021,844,192,042,979,077,859,199,037,121,726,793,024,721,038,862,179,029,194,135,322,142,941,954,393,570,360,531,442,834,532,540,392,621,611,732,853,802,761,422,632,432,162,922,421,899,812,895,984,073,500,794,789,065,734,159,039,925,781,352,723,835,025,741,342,783,927,592,036,591,171,777,X02,852,982,081,431,174,027,014,792,782,725,151,631,028,026,520,082,043,833,972,861,924,175,780,877
1363,70.76,6.78,2.35,0.0,0.0,1.71,1.23,0.5,0.68,0.85,0.38,0.25,0.58,0.22,0.36,0.1,0.33,0.07,0.31,0.14,0.27,0.25,0.26,0.11,2.59,0.16,0.07,0.19,0.1,,,0.04,0.04,0.1,0.18,0.14,0.01,0.12,0.11,0.1,0.1,,,0.01,0.0,,0.1,0.09,0.05,0.05,0.23,0.04,0.11,0.01,0.01,0.08,0.06,0.14,0.07,0.07,0.17,0.02,0.06,,,0.13,,0.05,0.02,0.02,0.03,0.04,0.03,,,0.07,0.02,0.07,0.04,,0.06,0.04,0.02,0.05,0.03,0.02,0.02,0.05,0.03,0.05,0.05,0.03,0.0,0.02,0.04,0.03,0.06,0.01,0.08,0.0,,0.06,0.02,0.0,0.0,0.01,0.08,0.09,0.01,0.01,,0.02,0.05,,0.02,0.0,0.01,1.98,0.0,0.01,0.01,0.04,0.03,0.03,0.07,,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.06,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.04,0.05,0.08,0.01,,0.01,0.01,0.01,0.02,,0.0,,0.01,0.0,0.01,,0.02,0.01,0.01,0.0,,0.01,0.0,0.01,0.01,,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.03,0.04,,,0.01,0.01,0.01,0.01,0.01,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.16,0.15,0.15,0.14,0.11,0.09,0.08,0.07,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
1364,71.66,7.02,2.26,0.01,0.0,1.42,1.16,0.58,0.66,0.77,0.35,0.3,0.42,0.23,0.3,0.08,0.36,0.07,0.29,0.17,0.26,0.25,0.22,0.12,2.33,0.15,0.07,0.21,0.11,,,0.05,0.03,0.09,0.17,0.15,0.01,0.11,0.11,0.08,0.09,,,0.02,0.0,,0.09,0.08,0.05,0.05,0.17,0.05,0.09,0.01,0.01,0.08,0.08,0.11,0.08,0.07,0.15,0.02,0.07,,,0.12,,0.07,0.02,0.02,0.03,0.05,0.04,,,0.05,0.03,0.06,0.03,,0.05,0.03,0.02,0.03,0.04,0.02,0.01,0.04,0.03,0.05,0.05,0.03,0.0,0.03,0.04,0.02,0.08,0.01,0.07,0.0,,0.05,0.02,0.0,0.0,0.02,0.08,0.1,0.02,0.01,,0.02,0.04,,0.02,,0.01,2.22,0.01,0.01,0.02,0.04,0.02,0.02,0.0,,0.01,0.01,0.01,0.01,0.01,0.04,0.02,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.03,0.06,0.08,0.02,,0.01,0.0,0.01,0.02,,0.0,,0.0,0.0,0.02,,0.03,0.01,0.0,0.0,,0.01,0.0,0.01,0.01,,0.0,0.0,0.01,0.01,0.01,0.01,0.01,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.02,,,0.01,0.01,0.02,0.01,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.14,0.11,0.13,0.1,0.1,0.06,0.08,0.06,0.04,0.03,0.1,0.02,0.01,0.01,0.01,0.0,0.02,0.0,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1365,70.81,8.29,2.31,0.01,0.0,1.33,1.24,0.62,0.72,0.67,0.26,0.29,0.47,0.19,0.21,0.09,0.32,0.03,0.27,0.14,0.31,0.27,0.27,0.11,2.59,0.15,0.09,0.23,0.09,,,0.04,0.03,0.14,0.15,0.09,0.02,0.12,0.11,0.09,0.07,,,0.02,,,0.09,0.09,0.06,0.03,0.18,0.04,0.09,0.01,0.01,0.08,0.05,0.12,0.06,0.09,0.11,0.03,0.06,,,0.1,,0.05,0.01,0.02,0.02,0.04,0.04,,,0.06,0.03,0.05,0.02,,0.06,0.02,0.01,0.05,0.03,0.02,0.02,0.04,0.04,0.04,0.06,0.03,0.0,0.0,0.06,0.0,0.07,0.01,0.11,,,0.03,0.02,0.01,,0.01,0.05,0.14,0.01,0.02,,0.05,0.03,,0.02,,0.01,1.72,0.0,0.0,0.02,0.03,0.03,0.02,0.01,,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.04,0.02,0.01,0.02,0.0,0.02,,0.01,0.0,0.02,0.02,0.05,0.04,0.1,0.01,,0.01,0.01,0.01,0.02,,0.0,,,,0.01,,0.04,0.0,0.02,0.01,,0.01,,0.01,0.02,,,,0.01,0.0,0.02,0.01,0.03,,,,0.0,,,,0.0,,,,0.01,0.02,0.04,0.03,,,0.0,0.01,0.01,0.01,0.0,0.0,,,,0.0,,,,0.01,0.0,0.02,,0.0,,0.0,0.01,0.01,0.01,0.0,0.0,0.01,,,0.01,0.0,,0.0,,0.01,,0.0,,,,0.17,0.08,0.14,0.12,0.08,0.07,0.09,0.06,0.06,0.02,0.12,0.01,0.02,0.03,0.06,0.0,0.02,0.0,0.0,0.02,0.01,0.03,,0.0,0.01,0.01,0.01,0.0,0.0,,,,,0.0,,0.01,,0.0,,0.01,,,,0.0,,0.01,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,
1366,72.56,7.69,2.13,1.86,1.61,1.42,1.26,0.63,0.56,0.53,0.28,0.4,0.42,0.47,0.19,0.37,0.3,0.17,0.28,0.23,0.2,0.24,0.31,0.14,0.02,0.2,0.15,0.2,0.09,0.13,0.1,0.13,0.11,0.14,0.14,0.08,0.06,0.1,0.09,0.13,0.08,0.07,0.06,0.08,0.05,0.04,0.08,0.09,0.04,0.04,0.05,0.04,0.05,0.13,0.06,0.05,0.09,0.06,0.05,0.04,0.04,0.04,0.07,0.03,0.04,0.08,0.03,0.05,0.08,0.03,0.04,0.06,0.02,0.08,0.03,0.07,0.01,0.01,0.03,0.02,0.02,0.02,0.04,0.04,0.05,0.03,0.02,0.03,0.03,0.06,0.04,0.02,0.01,0.02,0.03,0.01,0.04,0.02,0.02,0.0,0.01,0.04,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.03,0.0,0.01,0.02,0.0,0.03,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.03,0.02,0.0,0.0,0.03,0.02,0.01,0.0,0.03,0.01,0.01,0.02,0.05,0.01,0.0,0.01,,0.01,0.0,0.0,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.0,,0.0,0.0,0.01,,0.0,,0.01,0.02,0.0,0.01,,0.0,,0.02,0.01,0.0,,0.02,,0.01,,0.01,,,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,,0.01,,0.01,0.0,,0.01,0.0,0.01,0.01,,0.01,,0.01,0.0,,0.01,0.01,,,,,,,0.01,0.01,,,0.01,0.0,0.01,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.01,,,0.0,0.01,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
1367,73.14,7.06,2.54,1.81,1.53,1.42,1.14,0.66,0.51,0.53,0.32,0.35,0.36,0.42,0.25,0.34,0.3,0.14,0.22,0.3,0.21,0.23,0.21,0.13,0.02,0.17,0.18,0.15,0.1,0.1,0.09,0.14,0.13,0.14,0.11,0.11,0.09,0.1,0.12,0.14,0.1,0.06,0.09,0.1,0.06,0.06,0.09,0.06,0.04,0.08,0.07,0.05,0.05,0.09,0.03,0.05,0.08,0.04,0.06,0.05,0.04,0.05,0.04,0.04,0.04,0.07,0.04,0.03,0.06,0.02,0.05,0.07,0.02,0.04,0.03,0.07,0.02,0.03,0.03,0.02,0.03,0.02,0.01,0.03,0.02,0.02,0.03,0.03,0.03,0.06,0.03,0.05,0.02,0.03,0.02,0.02,0.1,0.02,0.03,0.01,0.03,0.06,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0.0,0.07,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,,0.03,0.02,0.0,0.0,0.02,0.01,0.01,0.03,0.01,0.0,0.0,0.01,0.01,0.02,0.02,0.05,0.0,0.02,0.01,0.0,0.01,0.01,0.01,0.01,,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,,0.02,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.01,,0.01,,0.01,0.0,0.01,0.01,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.01,0.01,,,0.01,,,0.0,0.01,,,,0.0,0.01,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.0,,,0.0,,,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.01,,0.0,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,0.0,0.0
1368,71.76,7.65,3.35,2.16,1.57,1.47,1.08,0.66,0.54,0.53,0.42,0.41,0.39,0.36,0.3,0.3,0.27,0.27,0.26,0.26,0.21,0.21,0.2,0.18,0.17,0.16,0.15,0.12,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
