Year,False,True,Missing
1363,66.42,33.58,0.0
1364,67.43,32.57,0.0
1365,66.88,33.12,0.0
1366,63.42,36.58,0.0
1367,64.63,35.37,0.0
1368,62.44,37.56,0.0
