Year,False,True,Missing
1363,85.48,14.52,0.0
1364,84.26,15.74,0.0
1365,85.63,14.37,0.0
1366,84.96,15.04,0.0
1367,87.16,12.84,0.0
1368,87.99,12.01,0.0
