Year,False,True,Missing
1363,87.68,12.32,0.0
1364,87.06,12.94,0.0
1365,86.92,13.08,0.0
1366,86.46,13.54,0.0
1367,87.61,12.39,0.0
1368,90.13,9.87,0.0
