Year,True,False,Missing
1363,44.92,55.08,0.0
1364,48.31,51.69,0.0
1365,50.27,49.73,0.0
1366,57.26,42.74,0.0
1367,56.62,43.38,0.0
1368,56.49,43.51,0.0
