Year,False,True,Missing
1363,82.16,17.84,0.0
1364,80.96,19.04,0.0
1365,73.84,26.16,0.0
1366,63.76,36.24,0.0
1367,64.46,35.54,0.0
1368,67.33,32.67,0.0
