,Year,Value,Replace_Value,Frequency
0,1363,X01,None,12.0
1,1363,X02,None,1.0
2,1363,X03,None,2.0
3,1364,X01,None,2.0
4,1364,X03,None,6.0
5,1365,X03,None,2.0
6,1366,X03,None,3.0
7,1367,X01,None,1.0
8,1367,X03,None,1.0
9,1368,X01,None,2.0
10,1368,X03,None,1.0
