Year,True,False,Missing
1363,87.07,12.93,0.0
1364,87.53,12.47,0.0
1365,85.05,14.95,0.0
1366,84.54,15.46,0.0
1367,90.18,9.82,0.0
1368,86.37,13.63,0.0
