Year,False,True,Missing
1363,80.05,19.95,0.0
1364,81.68,18.32,0.0
1365,83.39,16.61,0.0
1366,82.71,17.29,0.0
1367,82.72,17.28,0.0
1368,84.29,15.71,0.0
