Year,False,True,Missing
1363,85.37,14.63,0.0
1364,84.82,15.18,0.0
1365,80.4,19.6,0.0
1366,82.39,17.61,0.0
1367,82.39,17.61,0.0
1368,84.85,15.15,0.0
