Year,False,True,Missing
1363,94.91,5.09,0.0
1364,94.44,5.56,0.0
1365,91.15,8.85,0.0
1366,90.25,9.75,0.0
1367,91.4,8.6,0.0
1368,92.35,7.65,0.0
