Year,True,False,Missing
1363,8.95,91.05,0.0
1364,9.47,90.53,0.0
1365,13.77,86.23,0.0
1366,93.05,6.95,0.0
1367,89.69,10.31,0.0
1368,90.57,9.43,0.0
