Year,Missing,True,False
1383,99.17,0.83,0.0
1384,99.17,0.83,0.0
1385,0.0,0.58,99.42
1386,99.49,0.51,0.0
1387,99.61,0.39,0.0
1388,99.8,0.2,0.0
1389,99.86,0.14,0.0
1390,99.87,0.13,0.0
1391,99.94,0.06,0.0
1392,99.91,0.09,0.0
1393,99.96,0.04,0.0
1394,99.98,0.02,0.0
1395,99.96,0.04,0.0
1396,99.97,0.03,0.0
1397,99.98,0.02,0.0
1398,99.97,0.03,0.0
1399,99.98,0.02,0.0
1400,99.99,0.01,0.0
1401,100.0,0.0,0.0
1402,99.99,0.01,0.0
