Year,True,False,Missing
1363,95.58,4.42,0.0
1364,93.5,6.5,0.0
1365,95.48,4.52,0.0
1366,95.05,4.95,0.0
1367,94.11,5.89,0.0
1368,94.97,5.03,0.0
