Year,False,True,Missing
1363,96.5,3.5,0.0
1364,95.59,4.41,0.0
1365,91.55,8.45,0.0
1366,92.36,7.64,0.0
1367,91.62,8.38,0.0
1368,92.39,7.61,0.0
