,Year,Value,Replace_Value,Frequency
0,1369,X01,None,5.0
1,1369,X02,None,12.0
2,1370,X01,None,2.0
3,1370,X02,None,1.0
4,1370,X03,None,1.0
5,1371,X01,None,1.0
6,1371,X02,None,1.0
7,1371,X03,None,1.0
8,1372,X01,None,1.0
9,1372,X02,None,1.0
10,1373,X01,None,6.0
11,1373,X04,None,1.0
12,1374,x01,None,4.0
13,1374,x03,None,1.0
14,1374,x04,None,1.0
15,1388,x000,0,6.0
16,1389,x000,0,1.0
17,1390,x000,0,1.0
18,1391,x000,0,3.0
