Year,True,False,Missing
1363,53.05,46.95,0.0
1364,53.41,46.59,0.0
1365,45.98,54.02,0.0
1366,52.28,47.72,0.0
1367,59.73,40.27,0.0
1368,56.27,43.73,0.0
