Year,False,True,Missing
1363,90.72,9.28,0.0
1364,91.76,8.24,0.0
1365,91.85,8.15,0.0
1366,90.52,9.48,0.0
1367,90.95,9.05,0.0
1368,92.04,7.96,0.0
