,Year,Value,Replace_Value,Frequency
0,1363,X01,None,16.0
1,1363,X03,None,296.0
2,1364,X03,None,279.0
3,1365,X03,None,74.0
4,1368,X01,None,4.0
5,1368,X03,None,86.0
6,1368,X04,None,12.0
