,Year,Value,Replace_Value,Frequency
0,1383,00,None,3.0
1,1383,11,None,1.0
2,1383,31,None,1.0
3,1383,61,None,1.0
4,1384,11,None,1.0
5,1386,00,None,3.0
6,1388,00,None,2.0
