Year,False,True,Missing
1363,97.23,2.77,0.0
1364,97.42,2.58,0.0
1365,97.52,2.48,0.0
1366,97.15,2.85,0.0
1367,96.63,3.37,0.0
1368,97.13,2.87,0.0
