Year,True,False,Missing
1363,99.46,0.54,0.0
1364,98.91,1.09,0.0
1365,99.23,0.77,0.0
1366,99.34,0.66,0.0
1367,98.7,1.3,0.0
1368,99.4,0.6,0.0
