Year,False,True,Missing
1363,98.68,1.32,0.0
1364,99.1,0.9,0.0
1365,98.91,1.09,0.0
1366,99.24,0.76,0.0
1367,99.15,0.85,0.0
1368,99.44,0.56,0.0
